程式執行時間,2021-08-12 22:33:24
,110年度,7月
公司代號,公司名稱,當月營收,上月營收,上上月營收,上上上月營收,MOM,去年同期營收,YOY,收盤價
1101,台泥,"8,319,971","8,480,821","9,832,764","9,672,128",-1.9,"9,391,351",-11.41,47.6
1102,亞泥,"6,477,630","6,895,504","7,688,883","7,830,830",-6.06,"6,798,878",-4.73,45.75
1103,嘉泥,"192,983","168,756","196,403","185,227",14.36,"173,129",11.47,22.15
1104,環泥,"493,738","407,130","533,814","523,569",21.27,"477,040",3.5,22.65
1108,幸福,"310,860","325,660","357,039","345,563",-4.54,"384,035",-19.05,12.5
1109,信大,"492,134","492,001","627,354","766,026",0.03,"656,183",-25.0,21.95
1110,東泥,"159,247","262,145","141,730","143,902",-39.25,"124,643",27.76,17.6
1201,味全,"1,802,387","1,717,230","1,659,960","1,567,125",4.96,"1,720,915",4.73,21.0
1203,味王,"494,155","492,972","488,269","470,972",0.24,"490,401",0.77,33.35
1210,大成,"9,150,386","8,392,356","8,029,443","8,512,993",9.03,"6,397,684",43.03,56.1
1213,大飲,"52,085","36,210","35,416","31,631",43.84,"53,900",-3.37,nan
1215,卜蜂,"2,147,399","2,024,955","2,086,575","1,997,700",6.05,"1,884,932",13.92,78.5
1216,統一,"41,852,623","39,253,261","39,759,158","38,356,552",6.62,"40,509,558",3.32,73.0
1217,愛之味,"441,314","464,795","439,985","273,615",-5.05,"430,161",2.59,10.8
1218,泰山,"895,483","794,155","830,360","810,520",12.76,"831,903",7.64,28.75
1219,福壽,"1,263,633","1,024,656","1,176,668","1,240,389",23.32,"980,279",28.91,21.75
1220,台榮,"258,235","272,149","254,687","262,030",-5.11,"264,847",-2.5,16.85
1225,福懋油,"1,084,754","1,034,300","1,114,265","1,020,599",4.88,"847,382",28.01,43.95
1227,佳格,"2,558,217","2,701,602","2,373,213","2,337,076",-5.31,"2,474,374",3.39,52.1
1229,聯華,"965,934","1,662,605","845,247","724,446",-41.9,"725,137",33.21,51.2
1231,聯華食,"829,241","738,135","723,277","695,795",12.34,"787,417",5.31,75.4
1232,大統益,"1,556,554","1,358,757","1,642,167","1,916,817",14.56,"1,465,369",6.22,164.0
1233,天仁,"128,786","107,176","134,815","141,150",20.16,"164,578",-21.75,34.55
1234,黑松,"766,210","748,522","731,347","687,081",2.36,"936,282",-18.16,35.75
1235,興泰,"2,096","1,630","1,066","1,112",28.59,"6,635",-68.41,34.75
1236,宏亞,"119,197","83,920","98,044","100,156",42.04,"122,704",-2.86,14.95
1256,鮮活果汁-KY,"584,754","499,954","409,708","407,552",16.96,"393,593",48.57,445.0
1301,台塑,"22,344,061","22,938,082","24,347,789","24,367,037",-2.59,"15,716,282",42.17,100.5
1303,南亞,"36,795,856","34,598,733","34,484,715","34,904,534",6.35,"21,752,364",69.16,87.8
1304,台聚,"5,995,006","6,053,540","5,665,595","6,028,023",-0.97,"4,099,746",46.23,33.3
1305,華夏,"1,830,303","1,684,606","1,397,334","1,493,823",8.65,"1,068,490",71.3,37.85
1307,三芳,"621,285","691,468","604,961","697,674",-10.15,"528,216",17.62,22.75
1308,亞聚,"821,270","794,147","740,520","800,995",3.42,"432,139",90.05,36.65
1309,台達化,"1,696,625","1,864,035","1,827,110","1,876,788",-8.98,"1,404,282",20.82,43.75
1310,台苯,"1,127,532","1,087,399","1,216,202","1,126,664",3.69,"682,498",65.21,19.3
1312,國喬,"1,903,047","1,955,006","2,029,279","1,949,387",-2.66,"1,328,986",43.2,31.3
1313,聯成,"7,362,982","6,964,983","6,407,063","7,594,888",5.71,"4,292,844",71.52,24.55
1314,中石化,"3,161,214","3,363,761","3,063,236","2,814,860",-6.02,"1,166,126",171.09,13.4
1315,達新,"287,861","213,438","163,373","166,442",34.87,"240,945",19.47,69.4
1316,上曜,"81,525","29,269","135,104","110,280",178.54,"46,213",76.41,12.25
1319,東陽,"1,477,738","1,611,783","1,382,944","1,463,614",-8.32,"1,468,402",0.64,34.9
1321,大洋,"497,611","474,134","634,152","544,134",4.95,"450,073",10.56,35.6
1323,永裕,"313,681","330,531","306,490","303,256",-5.1,"279,151",12.37,33.85
1324,地球,"87,410","86,079","97,182","83,533",1.55,"88,678",-1.43,11.05
1325,恆大,"74,714","128,578","137,103","136,427",-41.89,"399,921",-81.32,53.9
1326,台化,"30,240,623","30,692,373","32,135,688","33,047,596",-1.47,"20,451,507",47.87,82.7
1337,再生-KY,"98,066","105,134","111,075","108,468",-6.72,"81,781",19.91,7.43
1338,廣華-KY,"583,999","570,469","441,840","557,726",2.37,"578,873",0.89,58.3
1339,昭輝,"159,753","143,126","157,139","170,515",11.62,"198,459",-19.5,37.75
1340,勝悅-KY,"54,795","56,676","54,400","53,832",-3.32,"61,364",-10.7,10.95
1341,富林-KY,"202,509","226,918","251,222","222,207",-10.76,"235,779",-14.11,72.0
1342,八貫,"187,911","179,870","136,733","139,188",4.47,"125,398",49.85,53.5
1402,遠東新,"19,058,851","19,922,489","20,092,465","18,494,363",-4.33,"15,997,860",19.13,30.25
1409,新纖,"3,661,437","3,597,869","3,697,034","3,774,406",1.77,"2,458,078",48.96,20.3
1410,南染,"40,335","35,997","52,699","42,253",12.05,"31,295",28.89,34.25
