公司代號,公司名稱,當月營收,上月營收,上上月營收,上上上月營收,MOM,去年同期營收,YOY
程式執行時間,2021-08-04 00:31:36AM
,110年度,6月
1101,台泥,"8,480,821","9,832,764","9,672,128","9,779,716",-13.75,"9,288,320",-8.69
1102,亞泥,"6,895,504","7,688,883","7,830,830","7,006,606",-10.32,"6,752,208",2.12
1103,嘉泥,"168,756","196,403","185,227","203,954",-14.08,"166,768",1.19
1104,環泥,"407,130","533,814","523,569","575,019",-23.73,"453,562",-10.24
1108,幸福,"325,660","357,039","345,563","349,527",-8.79,"360,616",-9.69
1109,信大,"492,001","627,354","766,026","882,786",-21.58,"611,254",-19.51
1110,東泥,"262,145","141,730","143,902","146,368",84.96,"130,369",101.08
1201,味全,"1,717,230","1,659,960","1,567,125","1,507,135",3.45,"1,584,018",8.41
1203,味王,"492,972","488,269","470,972","500,102",0.96,"519,138",-5.04
1210,大成,"8,392,356","8,029,443","8,512,993","8,072,006",4.52,"6,450,520",30.1
1213,大飲,"36,210","35,416","31,631","30,196",2.24,"35,095",3.18
1215,卜蜂,"2,024,955","2,086,575","1,997,700","2,030,023",-2.95,"1,772,694",14.23
1216,統一,"39,253,261","39,759,158","38,356,552","38,463,882",-1.27,"38,616,245",1.65
1217,愛之味,"464,795","439,985","273,615","367,154",5.64,"415,560",11.85
1218,泰山,"794,155","830,360","810,520","799,575",-4.36,"734,201",8.17
1219,福壽,"1,024,656","1,176,668","1,240,389","1,257,299",-12.92,"987,280",3.79
1220,台榮,"272,149","254,687","262,030","269,619",6.86,"222,507",22.31
1225,福懋油,"1,034,300","1,114,265","1,020,599","1,125,109",-7.18,"792,623",30.49
1227,佳格,"2,701,602","2,373,213","2,337,076","1,938,626",13.84,"2,392,058",12.94
1229,聯華,"1,662,605","845,247","724,446","864,164",96.7,"1,275,443",30.36
1231,聯華食,"738,135","723,277","695,795","705,431",2.05,"684,343",7.86
1232,大統益,"1,358,757","1,642,167","1,916,817","1,805,442",-17.26,"1,424,986",-4.65
1233,天仁,"107,176","134,815","141,150","148,313",-20.5,"141,988",-24.52
1234,黑松,"748,522","731,347","687,081","733,787",2.35,"770,065",-2.8
1235,興泰,"1,630","1,066","1,112","1,009",52.91,"3,033",-46.26
1236,宏亞,"83,920","98,044","100,156","115,293",-14.41,"80,724",3.96
1256,鮮活果汁-KY,"499,954","409,708","407,552","350,208",22.03,"362,789",37.81
1301,台塑,"22,938,082","24,347,789","24,367,037","25,018,934",-5.79,"14,776,562",55.23
1303,南亞,"34,598,733","34,484,715","34,904,534","34,372,304",0.33,"20,794,995",66.38
1304,台聚,"6,053,540","5,665,595","6,028,023","6,209,704",6.85,"3,952,131",53.17
1305,華夏,"1,684,606","1,397,334","1,493,823","1,823,567",20.56,"948,423",77.62
1307,三芳,"691,468","604,961","697,674","932,378",14.3,"489,749",41.19
1308,亞聚,"794,147","740,520","800,995","679,625",7.24,"451,529",75.88
1309,台達化,"1,864,035","1,827,110","1,876,788","1,845,569",2.02,"1,276,711",46.0
1310,台苯,"1,087,399","1,216,202","1,126,664","677,091",-10.59,"684,951",58.76
1312,國喬,"1,955,006","2,029,279","1,949,387","1,835,254",-3.66,"1,332,033",46.77
1313,聯成,"6,964,983","6,407,063","7,594,888","7,215,445",8.71,"4,199,654",65.85
1314,中石化,"3,363,761","3,063,236","2,814,860","2,915,031",9.81,"1,217,571",176.27
1315,達新,"213,438","163,373","166,442","183,809",30.64,"188,984",12.94
1316,上曜,"29,269","135,104","110,280","65,446",-78.34,"356,108",-91.78
1319,東陽,"1,611,783","1,382,944","1,463,614","1,689,085",16.55,"1,264,888",27.42
1321,大洋,"474,134","634,152","544,134","633,433",-25.23,"406,756",16.56
1323,永裕,"330,531","306,490","303,256","306,780",7.84,"298,326",10.8
1324,地球,"86,079","97,182","83,533","111,375",-11.42,"86,367",-0.33
1325,恆大,"128,578","137,103","136,427","139,477",-6.22,"484,807",-73.48
1326,台化,"30,692,373","32,135,688","33,047,596","32,179,323",-4.49,"19,842,166",54.68
1337,再生-KY,"105,134","111,075","108,468","102,248",-5.35,"74,032",42.01
1338,廣華-KY,"570,469","441,840","557,726","705,190",29.11,"543,095",5.04
